"","punk","bid","bid_withdrawn","offer","offer_withdrawn","transfer","unwrap","wrap","largest_bid","sold_price","sold_date","last_sold_price"
"8720",1956,0,0,1,0,0,0,0,NA,"302699",2021-08-27,"69"
"8721",1956,3,0,1,0,0,0,0,"7","69",2017-07-18,"NA"
"8722",1957,0,0,1,0,0,0,0,NA,"291393",2021-08-27,"37920"
"8723",1957,2,2,2,0,0,0,0,"34922","37920",2021-07-21,"35751"
"8724",1957,0,0,1,0,0,0,0,NA,"35751",2021-07-19,"34443"
"8725",1957,0,0,2,0,1,0,0,NA,"34443",2021-07-19,"39396"
"8726",1957,0,0,1,0,0,0,0,NA,"39396",2021-07-12,"37827"
"8727",1957,3,1,5,0,2,1,1,"38354","37827",2021-07-12,"75971"
"8728",1957,1,0,1,0,0,0,0,"0.01","75971",2021-05-03,"NA"
"8729",1958,0,0,5,4,0,0,0,NA,"330245",2021-08-27,"269"
"8730",1958,0,0,1,0,0,0,0,NA,"269",2020-05-26,"105"
"8731",1958,0,0,4,0,0,0,0,NA,"105",2020-01-23,"118"
"8732",1958,1,0,0,0,0,0,0,"118","118",2019-06-21,"NA"
"8733",1959,0,0,3,0,0,0,0,NA,"313895",2021-08-27,"268773"
"8734",1959,1,1,1,0,1,0,0,"196538","268773",2021-08-27,"NA"
"8735",1960,0,0,1,0,0,0,0,NA,"0",2022-03-26,"356147"
"8736",1960,2,2,5,0,0,0,0,"39157","356147",2021-08-27,"NA"
"8737",1961,3,3,7,3,2,0,0,"281056","378623",2021-08-27,"90978"
"8738",1961,1,1,2,1,0,0,0,"62373","90978",2021-07-31,"NA"
"8739",1962,0,1,1,0,0,0,0,NA,"303075",2021-08-27,"260497"
"8740",1962,2,0,5,0,0,0,0,"222537","260497",2021-08-24,"181383"
"8741",1962,0,0,3,2,0,0,0,NA,"181383",2021-08-23,"151728"
"8742",1962,1,0,7,0,0,0,0,"32","151728",2021-08-10,"153312"
"8743",1962,0,0,2,0,0,0,0,NA,"153312",2021-08-07,"203"
"8744",1962,0,0,2,1,0,0,0,NA,"203",2020-03-25,"177"
"8745",1962,0,0,2,0,0,0,0,NA,"177",2019-06-16,"26"
"8746",1962,0,0,1,0,0,0,0,NA,"26",2018-10-28,"NA"
"8747",1963,0,0,1,0,0,0,0,NA,"295099",2021-08-27,"NA"
"8748",1964,0,0,1,0,0,0,0,NA,"366880",2021-08-27,"63997"
"8749",1964,2,0,2,0,1,0,0,"55003","63997",2021-03-18,"NA"
"8750",1965,0,0,1,0,0,0,0,NA,"303075",2021-08-27,"NA"
